0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	3	1	2
3	6	4	14	5	3
4	8	13	23	14	9
6	16	17	22	18	4
0	7	7	7	7	5
0	0	0	0	0	2
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
1	0	0	0	0	0
0	2	2	2	2	3
9	20	19	15	11	5
17	16	19	20	17	5
0	1	0	5	4	3
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	1	0	0	0
0	1	2	0	0	0
1	5	6	5	1	2
7	24	22	25	14	4
5	12	14	18	14	5
0	0	3	5	5	3
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
1	0	0	0	0	0
0	2	0	0	0	0
10	13	8	6	7	2
16	19	17	9	7	2
0	0	0	2	2	6
0	0	1	0	2	2
0	0	0	0	0	1
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	1	0	0	1
0	0	0	3	2	1
0	2	6	3	2	0
0	8	17	12	14	11
0	0	4	9	9	9
0	0	1	0	5	3
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	1
0	0	0	0	1	1
0	0	5	4	3	4
5	7	12	13	8	4
0	2	10	14	9	6
0	1	2	0	0	1
9	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	2	1	1	1	1
2	6	16	13	2	4
7	14	14	17	10	6
2	10	12	14	9	6
0	0	1	0	0	0
0	0	0	0	0	1
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
1	1	0	1	1	1
7	7	11	12	5	4
12	12	19	20	12	2
0	1	1	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
1	8	11	12	7	2
6	2	10	8	7	1
12	10	12	16	12	4
0	0	2	3	1	3
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	1	0
3	7	8	8	7	6
19	22	22	24	22	18
2	7	14	19	20	9
0	0	2	13	8	6
0	0	0	0	0	1
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	1	1
3	3	6	5	3	0
21	25	26	21	26	12
5	7	13	9	16	7
0	0	1	1	1	2
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	1	3
2	4	4	0	1	5
12	13	19	19	10	6
5	5	6	6	5	4
0	0	1	0	1	2
0	0	0	0	0	3
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	2
0	0	0	0	2	2
0	0	3	4	1	4
20	19	23	29	25	18
10	13	24	21	22	7
3	0	8	4	11	1
0	0	0	0	1	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	1	6	1	2	0
6	5	8	3	6	1
6	8	15	11	22	9
7	13	19	23	29	23
0	0	4	2	0	2
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	1
0	0	0	0	0	0
2	2	3	7	9	4
9	13	27	24	25	14
7	7	22	21	20	25
4	2	17	13	18	21
0	0	0	0	0	3
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	4	4
0	1	4	1	6	2
8	17	27	25	26	25
7	15	23	23	24	24
1	0	9	5	3	5
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	1
0	0	0	0	0	0
1	2	8	0	1	3
4	9	21	18	24	12
2	15	22	20	25	21
0	0	0	0	4	2
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	1	0	2	1
0	5	9	7	8	3
12	14	20	21	21	10
7	15	23	16	23	5
0	0	1	0	0	6
0	0	0	0	0	2
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	1	0	0	0
4	4	6	3	0	5
15	24	26	26	15	6
12	24	24	28	23	4
0	3	3	0	6	6
0	0	0	0	0	1
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
1	1	1	0	0	2
0	0	0	2	5	2
8	16	17	14	12	8
13	23	26	28	28	26
0	0	0	2	6	1
0	0	0	0	0	3
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	2	2	1	1	1
2	7	12	8	11	2
2	6	13	14	13	10
10	18	23	27	27	19
0	0	0	3	5	10
0	0	0	0	0	7
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	1	3
2	5	9	5	8	6
18	26	26	26	28	17
13	25	30	29	31	28
0	0	3	6	11	13
0	0	0	0	0	2
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	1	0	0	0	0
1	7	6	2	3	3
11	26	24	21	24	14
5	13	13	14	17	16
0	0	0	0	2	5
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	4	0	1	0	0
9	12	9	8	7	2
4	9	14	12	16	10
1	10	9	14	22	23
0	0	0	0	0	2
0	0	0	0	0	2
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	6	6	0	1	1
0	4	12	12	13	8
3	17	21	16	16	9
3	16	20	15	21	9
0	8	13	6	5	2
0	2	0	0	0	1
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	1
0	4	2	0	0	1
3	13	18	12	11	14
13	22	26	16	19	15
14	25	27	25	27	15
0	3	4	3	3	9
0	0	0	0	0	1
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	4	2	0	0	2
0	4	12	6	4	9
2	20	24	14	17	5
0	12	23	22	22	15
0	5	7	0	2	3
0	0	0	0	0	3
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	2	1	0	0	1
0	17	17	5	7	0
